tabled_Innskudd,tabled_Antall eiere,tabled_Hjuldrift,tabled_1. gang registrert,tabled_Antall seter,tabled_Drivstoff,title,tabled_Antall dører,tabled_Bilen står i,tabled_Reg.nr.,tabled_Salgsform,tabled_Avgiftsklasse,price,tabled_Str. lasterom,tabled_Km.stand,place,tabled_Årsmodell,tabled_CO2 utslipp,tabled_Hjuldriftnavn,tabled_Karosseri,tabled_Årsavgift,tabled_Pris eks omreg,tabled_Vekt,tabled_Girkasse,tabled_Fargebeskrivelse,tabled_Farge,tabled_Omregistrering,id,tabled_Forrige pris,tabled_Effekt,tabled_Sylindervolum,tabled_Interiørfarge
,3,Forhjulsdrift,05.01.1999,5,Bensin,Volvo S80,4,Norge,RH60080,Bruktbil til salgs,Personbil,37569,,199093,4332 Figgjo,1999,,,Sedan,Inklusiv,36000,1 552 kg,Automat,,Sølv,1569,98675133,,163,2 l,
,,Forhjulsdrift,10.04.2006,5,Bensin,Kia Cerato,5,Norge,TV72842,Bruktbil til salgs,Personbil,35614,,115000,3530 Røyse,2006,167 g/km,,Kombi 5-dørs,Ikke inklusiv,33000,1 200 kg,Manuell,,Blå,2614,98680022,,105,"1,6 l",
,1,Bakhjulsdrift,20.11.2008,5,Diesel,BMW 3-serie,4,Norge,BR74436,Bruktbil til salgs,Personbil,169500,,143500,4072 Randaberg,2009,144 g/km,,Sedan,Inklusiv,165840,1 445 kg,Automat,Karmesinrot,Rød,3660,98681639,,163,2 l,Leder dakota/beige
,,Firehjulsdrift,12.09.2012,5,Diesel,Mercedes-Benz GLK,5,Norge,VH45182,Bruktbil til salgs,Personbil,399000,,54000,7224 Melhus,2013,159 g/km,,SUV/Offroad,Inklusiv,395340,1 805 kg,Automat,,Svart,3660,94624042,,170,"2,1 l",Svart
,4,Firehjulsdrift,04.05.2004,5,Bensin,Subaru Legacy,5,Norge,RJ33209,Bruktbil til salgs,Personbil,69569,,208000,4032 Stavanger,2004,203 g/km,,Stasjonsvogn,Inklusiv,68000,1 440 kg,Automat,,Sølv,1569,98682335,,165,"2,5 l",Sort
,4,Forhjulsdrift,29.09.1998,5,Bensin,Toyota Corolla,3,Norge,KF81717,Bruktbil til salgs,Personbil,21569,,141716,7513 Stjørdal,1998,,,Kombi 3-dørs,Inklusiv,20000,1 040 kg,Manuell,,Grønn,1569,98682502,,86,"1,3 l",
,11,Firehjulsdrift,19.04.1995,4,Bensin,Chevrolet Blazer,5,Norge,KF51281,Bruktbil til salgs,Personbil,19569,,258000,5146 Fyllingsdalen,1995,,,SUV/Offroad,Ikke inklusiv,18000,1 910 kg,Automat,,Rød,1569,98679940,,193,"4,3 l",
"60 000,-",1,Forhjulsdrift,08.03.2016,5,Diesel,Volvo V70,5,Norge,,Leasing,Personbil,3001,,21000,1364 Fornebu,2016,118 g/km,,Stasjonsvogn,,,1 607 kg,Automat,,Grå,Ikke oppgitt,98683411,,150,2 l,Sort - Alu
,2,Bakhjulsdrift,19.10.2011,5,Diesel,BMW 1-serie,5,Norge,DN75740,Bruktbil til salgs,Personbil,99569,,155000,1359 Eiksmarka,2005,152 g/km,,Kombi 5-dørs,Inklusiv,98000,1 340 kg,Manuell,,Grå,1569,98680061,,163,2 l,
,2,Forhjulsdrift,10.05.2012,5,Diesel,Volkswagen Passat,5,Norge,ZH35055,Bruktbil til salgs,Personbil,143660,,76649,7710 Sparbu,2012,116 g/km,,Stasjonsvogn,Ikke inklusiv,140000,1 468 kg,Manuell,,Brun,3660,98682461,,105,"1,6 l",
