tabled_Innskudd,tabled_Antall eiere,tabled_Hjuldrift,tabled_1. gang registrert,tabled_Antall seter,tabled_Drivstoff,title,tabled_Antall dører,tabled_Bilen står i,tabled_Reg.nr.,tabled_Salgsform,tabled_Avgiftsklasse,price,tabled_Str. lasterom,tabled_Km.stand,place,tabled_Årsmodell,tabled_CO2 utslipp,tabled_Hjuldriftnavn,tabled_Karosseri,tabled_Årsavgift,tabled_Pris eks omreg,tabled_Vekt,tabled_Girkasse,tabled_Fargebeskrivelse,tabled_Farge,tabled_Omregistrering,id,tabled_Forrige pris,tabled_Effekt,tabled_Sylindervolum,tabled_Interiørfarge
,,Forhjulsdrift,02,5,Bensin,Volvo V70,,Norge,BR22460,Bruktbil til salgs,Personbil,33569,,223000,3045 Drammen,2003,214 g/km,,Stasjonsvogn,Inklusiv,32000,,Manuell,,Sølv,1569,98319728,,140,"2,4 l",
,2,Firehjulsdrift,30.12.2009,7,Diesel,Mitsubishi Outlander,5,Norge,NV61102,Bruktbil til salgs,Personbil,118660,,325000,3160 Stokke,2010,192 g/km,,SUV/Offroad,Inklusiv,115000,1 755 kg,Automat,Sort,Svart,3660,88222905,,156,"2,2 l",Sort skinn
,1,Forhjulsdrift,09.09.2011,5,Bensin,Toyota Yaris,5,Norge,,Bruktbil til salgs,Personbil,79614,,78000,4848 Arendal,2011,,,Kombi 5-dørs,Ikke inklusiv,77000,1 050 kg,Manuell,,Sølv,2614,98322894,,99,"1,3 l",
,4,Firehjulsdrift,22.02.2013,5,Bensin,Porsche Cayenne,5,Norge,BS64301,Bruktbil til salgs,Personbil,199900,,185000,0587 Oslo,2004,324 g/km,,SUV/Offroad,Inklusiv,198331,2 170 kg,Automat,,Svart,1569,98317768,,250,"3,2 l",sort
,2,Firehjulsdrift,24.09.2010,5,Diesel,BMW 3-serie,5,Norge,,Bruktbil til salgs,Personbil,249000,,98500,5132 Nyborg,2011,,,Stasjonsvogn,Inklusiv,245340,1 605 kg,Automat,,Svart,3660,98322887,,184,2 l,
,1,Firehjulsdrift,12.11.2015,5,Diesel,Ford Mondeo,5,Norge,,Bruktbil til salgs,Personbil,469000,541 l,40100,1850 Mysen,2016,,,Kombi 5-dørs,Ikke inklusiv,462936,1 608 kg,Automat,Absolute Black,Svart,6064,98322947,,179,2 l,Helskinn
,,Forhjulsdrift,29.10.2015,5,Elektrisitet,Nissan Leaf,5,Norge,EL79926,Bruktbil til salgs,Personbil,189000,,30000,4848 Arendal,2015,,,Kombi 5-dørs,Ikke inklusiv,182936,1 430 kg,Automat,HVIT,Hvit,6064,98322843,,109,1 l,Sort
,1,Forhjulsdrift,13.11.2008,4,Bensin,Toyota Aygo,,Norge,,Auksjon,Personbil,14614,,76900,1252 Oslo,2008,,,Kombi 5-dørs,Ikke inklusiv,12000,830 kg,Manuell,,Sølv,2614,98322772,,68,1 l,
,,Forhjulsdrift,21.11.2001,5,Bensin,Audi A3,,Norge,,Auksjon,Personbil,16569,,193000,1252 Oslo,2002,,,Kombi 5-dørs,Ikke inklusiv,15000,1 160 kg,Manuell,,Svart,1569,98322751,,125,"1,8 l",
,1,Forhjulsdrift,28.01.2005,5,Bensin,Kia Picanto,,Norge,,Auksjon,Personbil,11569,,142850,1252 Oslo,2005,,,Flerbruksbil,Ikke inklusiv,10000,861 kg,Manuell,,Sølv,1569,98322790,,60,1 l,
,3,Forhjulsdrift,10.03.2004,5,Bensin,Mazda 6,5,Norge,SD21490,Bruktbil til salgs,Personbil,51569,,148174,4362 Vigrestad,2004,193 g/km,,Stasjonsvogn,Inklusiv,50000,1 335 kg,Manuell,,Blå,1569,98301641,,120,"1,8 l",
,,Forhjulsdrift,06.03.2015,5,Elektrisitet+bensin,Toyota Auris,5,Norge,AE44016,Bruktbil til salgs,Personbil,259000,,32900,1659 Torp,2015,,,Stasjonsvogn,Ikke inklusiv,252936,1 335 kg,Automat,Granittgrå metallic,Grå,6064,98322691,,136,"1,8 l","Helskinn, grå"
,1,Firehjulsdrift,04.07.2016,5,Diesel,Porsche Cayenne,5,Norge,BT45404,Bruktbil til salgs,Personbil,1395000,,28500,1555 Son,2016,,,SUV/Offroad,Inklusiv,1388936,,Automat,Jet black metallic,Svart,6064,98322406,,385,"4,2 l",Sort fullskinn
,3,Firehjulsdrift,06.09.2012,5,Bensin,Mazda CX-5,5,Norge,BD78520,Bruktbil til salgs,Personbil,272660,503 l,68500,7021 Trondheim,2012,155 g/km,AWD,SUV/Offroad,Inklusiv,269000,1 405 kg,Automat,soul red metallic,Rød,3660,93423201,,160,2 l,Lyst skinn
,2,Forhjulsdrift,10.04.2014,5,Diesel,Volvo S80,4,Norge,,Bruktbil til salgs,Personbil,321064,,71000,2050 Jessheim,2014,132 g/km,,Sedan,Inklusiv,315000,1 556 kg,Automat,Ember black,Svart,6064,90004253,,136,2 l,Sort
,4,Firehjulsdrift,18.04.2008,2,Diesel,Ssangyong Rexton,5,Norge,JU97496,Bruktbil til salgs,Varebil,136255,,192642,7070 Bosberg,2008,249 g/km,4WD,SUV/Offroad,Inklusiv,135000,2 040 kg,Automat,Svart,Svart,1255,98318865,,165,"2,7 l",svart
,1,Firehjulsdrift,26.09.2016,5,Elektrisitet,Tesla Model S,5,Norge,,Bruktbil til salgs,Personbil,848900,,13256,2013 Skjetten,2016,,,Sedan,Ikke inklusiv,842836,2 148 kg,Automat,,Sølv,6064,98322505,,442,0 l,Sort
,,Bakhjulsdrift,16.04.2012,5,Diesel,Mercedes-Benz E-Klasse,4,Norge,,Bruktbil til salgs,Personbil,289900,,112819,2013 Skjetten,2012,,,Sedan,Ikke inklusiv,286240,1 660 kg,Automat,,Brun,3660,98322493,,170,"2,1 l",Beige fullskinn
,2,Forhjulsdrift,,7,Diesel,Chrysler Voyager,,Norge,NF21315,Bruktbil til salgs,Personbil,139900,,91000,7037 Trondheim,2006,225 g/km,,Flerbruksbil,Inklusiv,136240,,Automat,,Svart,3660,98320046,,150,"2,8 l",
,,Forhjulsdrift,03.12.2002,4,Bensin,Alfa Romeo GTV,2,Norge,AR87334,Bruktbil til salgs,Personbil,100000,,148050,1672 Kråkerøy,1995,,,Coupe,Inklusiv,98431,1 497 kg,Manuell,Rosso,Rød,1569,93293345,,240,2 l,Sort
,1,Firehjulsdrift,09.01.2017,5,Bensin,BMW X3,5,Norge,,Bruktbil til salgs,Personbil,725000,500 l,5000,3400 Lier,2017,,,SUV/Offroad,Ikke inklusiv,,1 810 kg,Automat,SPACEGRAU METALLIC (A52),Grå,Fritatt,98322365,,184,2 l,LEDER NEVADA/SCHWARZ (LUSW)
,,Firehjulsdrift,16.05.2011,5,Diesel,BMW X1,5,Norge,,Bruktbil til salgs,Personbil,259000,420 l,41828,3400 Lier,2011,,,SUV/Offroad,Ikke inklusiv,255340,1 575 kg,Automat,SPACEGRAU METALLIC (A52),Grå,3660,98322330,,136,2 l,STOFF MEDIAN/ANTHR./SILBEREFFEKT (AXDN)
,4,Forhjulsdrift,30.09.1999,5,Bensin,Hyundai Atos,5,Norge,UE98142,Bruktbil til salgs,Personbil,12569,263 l,102000,6270 Brattvåg,1999,,,Kombi 5-dørs,Inklusiv,11000,820 kg,Manuell,,Rød,1569,98114522,,54,1 l,
,,Bakhjulsdrift,12.01.2011,2,Diesel,Mercedes-Benz Sprinter,6,Norge,,Bruktbil til salgs,Varebil,190255,,241000,2040 Kløfta,2011,,,Kasse,Ikke inklusiv,189000,1 912 kg,Manuell,,Svart,1255,98322180,,163,"2,1 l",Grått
,2,Firehjulsdrift,13.01.2006,3,Diesel,Toyota HiAce,5,Norge,AR98036,Bruktbil til salgs,Varebil,90255,,217833,1850 Mysen,2006,,,Kasse,Ikke inklusiv,89000,1 895 kg,Manuell,,Sølv,1255,98320580,,102,"2,5 l",
,,Firehjulsdrift,16.12.2013,5,Diesel,BMW X1,5,Norge,,Bruktbil til salgs,Personbil,299000,420 l,39571,3400 Lier,2014,,,SUV/Offroad,Ikke inklusiv,295340,1 575 kg,Automat,VALENCIA ORANGE METALLIC (B44),Oransje,3660,98322213,,136,2 l,LEDER NEVDA/SCHWARZ/KEDER GRAU-BRA (LUG1)
,1,Forhjulsdrift,25.06.2015,5,Bensin,Hyundai i20,5,Norge,,Bruktbil til salgs,Personbil,139000,525 l,39000,7044 Trondheim,2015,,,Annet,Ikke inklusiv,135027,980 kg,Manuell,X9N,Brun,3973,98322173,,84,,Brunt Stoff
,5,Forhjulsdrift,19.08.2008,4,Diesel,Fiat 500,3,Norge,KH58995,Bruktbil til salgs,Personbil,52614,,59000,4011 Stavanger,2008,111 g/km,,Kombi 3-dørs,Inklusiv,50000,980 kg,Manuell,,Hvit,2614,98321057,,75,"1,2 l",Sort
,1,Forhjulsdrift,28.05.2014,5,Diesel,Volvo V60,5,Norge,XR60613,Bruktbil til salgs,Personbil,249000,555 l,108658,7800 Namsos,2014,,,Stasjonsvogn,Ikke inklusiv,242936,1 538 kg,Automat,Svart,Svart,6064,98322088,,136,2 l,Tekstil T-Tech Mørk Grå
,1,Forhjulsdrift,10.03.2003,3,Diesel,Volkswagen Transporter,4,Norge,AJ54642,Bruktbil til salgs,Varebil,11046,,443000,1832 Askim,2003,,,Kasse,Inklusiv,10000,1 710 kg,Manuell,,Hvit,1046,98318008,,102,"2,5 l",
,1,Forhjulsdrift,01.04.2012,5,Diesel,Volkswagen Golf,,Norge,RZ34945,Bruktbil til salgs,Personbil,132660,,61699,5518 Haugesund,2012,113 g/km,,Stasjonsvogn,Inklusiv,129000,,Automat,,Sølv,3660,98320709,,105,"1,6 l",
,,Firehjulsdrift,6/7-05,5,Bensin,Subaru Forester,,Norge,,Bruktbil til salgs,Personbil,79000,,107000,1710 Sarpsborg,2005,204 g/km,,Stasjonsvogn,Inklusiv,77431,,Manuell,metallic,Blå,1569,98319457,,125,2 l,
,,Firehjulsdrift,10.10.2013,5,Diesel,Audi A4 allroad,5,Norge,,Bruktbil til salgs,Personbil,439900,,60310,7652 Verdal,2014,,,Stasjonsvogn,Ikke inklusiv,436240,1 670 kg,Automat,TEAKBRUN,Brun,3660,98321963,,177,2 l,SORT
,7,Firehjulsdrift,06.03.2001,5,Bensin,Kia Sportage,5,Norge,DK17168,Bruktbil til salgs,Personbil,10569,,104101,1168 Oslo,2001,,,SUV/Offroad,Inklusiv,9000,1 550 kg,Manuell,,Svart,1569,98321661,,118,2 l,
,1,Firehjulsdrift,30.06.2016,7,Diesel,BMW 2-serie,5,Norge,,Bruktbil til salgs,Personbil,489000,560 l,12000,3400 Lier,2016,,,Flerbruksbil,Ikke inklusiv,482936,1 615 kg,Automat,ATLANTIKGRAU METALLIC (C09),Grå,6064,98321914,,163,2 l,LED.DAKOTA M.PERFORIERUNG SCHWARZ (PDSW)
,5,Forhjulsdrift,19.11.2001,5,Diesel,Citroen C5,5,Norge,ST59602,Bruktbil til salgs,Personbil,23569,,210000,7562 Saksvik,2001,149 g/km,,Stasjonsvogn,Ikke inklusiv,22000,1 438 kg,Manuell,,Grå,1569,98319052,,109,2 l,
,,Firehjulsdrift,,5,Diesel,Honda CR-V,5,Norge,AS24611,Bruktbil til salgs,Personbil,133660,,111930,0667 Oslo,2009,173 g/km,,Flerbruksbil,Inklusiv,130000,,Manuell,,Grå,3660,98320264,,140,"2,2 l",
,1,Firehjulsdrift,16.10.2012,5,Diesel,Audi Q3,5,Norge,,Bruktbil til salgs,Personbil,284000,,86345,3400 Lier,2012,,,Kombi 5-dørs,Ikke inklusiv,280340,1 535 kg,Manuell,Grå Metallic,Grå,3660,98321806,,140,2 l,Svart
,,Forhjulsdrift,15.04.2014,5,Bensin,Audi A3,5,Norge,DP49221,Bruktbil til salgs,Personbil,209000,380 l,28754,0283 Oslo,2014,,,Kombi 5-dørs,Ikke inklusiv,205027,1 180 kg,Manuell,DAKOTAGRÅ,Grå,3973,98321823,,105,"1,2 l",SORT
,6,Forhjulsdrift,01.02.2002,5,Diesel,Volkswagen Bora,4,Norge,HB60070,Bruktbil til salgs,Personbil,30569,,272000,4070 Randaberg,2002,146 g/km,,Sedan,Inklusiv,29000,1 295 kg,Manuell,,Blå,1569,98319730,,131,"1,9 l",
,1,Forhjulsdrift,17.10.2014,5,Diesel,Volvo V40,5,Norge,,Bruktbil til salgs,Personbil,229800,335 l,44390,6022 Ålesund,2015,,,Kombi 5-dørs,Inklusiv,223736,1 291 kg,Manuell,Sort Safir Metallic 452,Svart,6064,98321721,,114,"1,6 l",Skinn Sort P100
,,Bakhjulsdrift,12.11.2004,4,Bensin,Porsche 911,2,Norge,,Bruktbil til salgs,Personbil,589000,,127300,0950 Oslo,2005,,,Coupe,Inklusiv,587431,1 460 kg,Automat,,Svart,1569,98321690,,355,"3,8 l",Sort
,,Firehjulsdrift,06.06.2012,5,Diesel,Volkswagen Tiguan,5,Norge,,Bruktbil til salgs,Personbil,289900,,86273,7652 Verdal,2012,,,SUV/Offroad,Ikke inklusiv,286240,1 589 kg,Automat,PEPPER GRÅ MET,Grå,3660,98321703,,140,2 l,SVART
,,Firehjulsdrift,,2,Diesel,Toyota Land Cruiser,,Norge,,Bruktbil til salgs,Varebil,549987,,13000,5953 Fonnes,2016,,,SUV/Offroad,Inklusiv,548000,,Automat,,Svart,1987,96060064,,177,,sort skinn
,,Forhjulsdrift,12.03.1999,2,Diesel,Volkswagen Caddy,3,Norge,YN40742,Bruktbil til salgs,Varebil,9046,,222000,9007 Tromsø,1999,,,Kasse,Inklusiv,8000,1 150 kg,Manuell,,Rød,1046,98321219,,64,"1,9 l",
,1,Forhjulsdrift,29.05.2015,5,Bensin,Ford Fiesta,5,Norge,,Bruktbil til salgs,Personbil,146000,290 l,62900,1520 Moss,2015,,,Kombi 5-dørs,Ikke inklusiv,142027,980 kg,Manuell,Frozen White,Hvit,3973,98321672,,80,1 l,Sort
,1,Forhjulsdrift,29.05.2015,5,Bensin,Ford Fiesta,5,Norge,,Bruktbil til salgs,Personbil,153000,290 l,52900,1520 Moss,2015,,,Kombi 5-dørs,Ikke inklusiv,149027,980 kg,Manuell,Magnetic,Grå,3973,98321628,,80,1 l,Sort
,,Forhjulsdrift,20.03.2014,5,Bensin,Volkswagen Golf,5,Norge,UF62823,Bruktbil til salgs,Personbil,239000,,35900,6011 Ålesund,2014,,,Kombi 5-dørs,Ikke inklusiv,235027,1 196 kg,Automat,TORNADORØD,Rød,3973,98321658,,122,"1,4 l",ANTHRAZIT
,1,Forhjulsdrift,30.05.2014,5,Diesel,Ford Focus,5,Norge,,Bruktbil til salgs,Personbil,215000,363 l,57300,1520 Moss,2014,,,Kombi 5-dørs,Ikke inklusiv,208936,1 269 kg,Manuell,Panther Black,Svart,6064,98321553,,116,"1,6 l",
,1,Firehjulsdrift,23.02.2015,5,Diesel,Ford Kuga,5,Norge,,Bruktbil til salgs,Personbil,399000,456 l,55200,1520 Moss,2015,,,SUV/Offroad,Ikke inklusiv,392936,1 641 kg,Automat,Deep Impact Blue,Blå,6064,98321584,,150,2 l,Sort
,2,Firehjulsdrift,02.12.2009,5,Diesel,Volvo XC 70,5,Norge,JD54309,Bruktbil til salgs,Personbil,293660,555 l,134300,8616 Mo,2010,199 g/km,,Stasjonsvogn,Inklusiv,290000,1 736 kg,Automat,,Rød,3660,90865177,,205,"2,4 l",Sort
,1,Forhjulsdrift,28.05.2014,5,Bensin,Ford Focus,5,Norge,,Bruktbil til salgs,Personbil,215800,490 l,44800,1520 Moss,2014,,,Stasjonsvogn,Ikke inklusiv,209736,1 241 kg,Manuell,Deep Impact Blue,Blå,6064,98321520,,125,1 l,
,1,Firehjulsdrift,,3,Diesel,Volkswagen Transporter,,Norge,,Bruktbil til salgs,Varebil,224999,,48000,3647 Hvittingfoss,2013,,,Kasse,Ikke inklusiv,223744,,Manuell,,Sølv,1255,98320791,,140,,
,,Bakhjulsdrift,,5,Bensin,Mercedes-Benz C-Klasse,4,Norge,pr25438,Bruktbil til salgs,Personbil,359900,,26500,0975 Oslo,2014,,,Sedan,Inklusiv,355927,,Automat,Obsidan svartmetallic,Svart,3973,98320672,,,"1,6 l",Grått skinninteriør
,2,Firehjulsdrift,04.03.2005,5,Diesel,Toyota Land Cruiser,5,Norge,NF14457,Bruktbil til salgs,Personbil,239000,,208000,3740 Skien,2005,,,SUV/Offroad,Ikke inklusiv,237954,,Automat,,Grå,1046,98320630,,166,3 l,
,1,Forhjulsdrift,28.04.2014,5,Diesel,Ford Focus,5,Norge,,Bruktbil til salgs,Personbil,228000,490 l,41300,1520 Moss,2014,,,Stasjonsvogn,Ikke inklusiv,221936,1 292 kg,Manuell,Moondust Silver,Grå,6064,98321477,,116,"1,6 l",Sort
,1,Forhjulsdrift,14.04.2014,5,Bensin,Ford Fiesta,5,Norge,,Bruktbil til salgs,Personbil,115000,290 l,109400,1520 Moss,2014,,,Kombi 5-dørs,Ikke inklusiv,111027,1 049 kg,Manuell,Panther Black,Svart,3973,98321432,,101,1 l,Sort
,,Forhjulsdrift,20.07.2007,5,Diesel,Volkswagen Passat,5,Norge,AE17995,Bruktbil til salgs,Personbil,49000,,194000,1385 Asker,2008,154 g/km,,Stasjonsvogn,Inklusiv,,1 477 kg,Manuell,,Grå,Fritatt,96110714,,105,"1,9 l",
,1,Firehjulsdrift,22.02.2011,5,Diesel,Volvo XC 70,5,Norge,HS98575,Bruktbil til salgs,Personbil,339900,555 l,81976,2619 Lillehammer,2011,,,Stasjonsvogn,Ikke inklusiv,336240,1 738 kg,Automat,Oyster grey Perl./Met 472,Grå,3660,98321352,,163,"2,4 l",Skinn Beige
,1,Firehjulsdrift,01.11.2016,7,Diesel,Volvo XC 90,5,Norge,FT55546,Bruktbil til salgs,Personbil,899900,692 l,16295,2619 Lillehammer,2017,,,SUV/Offroad,Inklusiv,893836,1 954 kg,Automat,Krystal hvit Metallic 707,Hvit,6064,98321390,,235,2 l,Mørk grå
,1,Firehjulsdrift,09.06.2015,7,Diesel,Volvo XC 90,5,Norge,IM08910,Bruktbil til salgs,Personbil,879900,368 l,24489,2619 Lillehammer,2016,,,SUV/Offroad,Ikke inklusiv,,,Automat,Savile grey Perl-/Met 492,Grå,Fritatt,98321420,,225,2 l,Mørk grå
,1,Forhjulsdrift,07.05.2014,5,Diesel,Toyota RAV4,5,Norge,KH98994,Bruktbil til salgs,Personbil,279000,547 l,66570,3007 Drammen,2014,,,SUV/Offroad,Ikke inklusiv,272936,1 535 kg,Manuell,Metallic,Sølv,6064,98321398,,124,2 l,Sort stoff
,1,Forhjulsdrift,28.03.2014,3,Diesel,Ford Transit Connect,4,Norge,,Bruktbil til salgs,Varebil,139000,,84500,1520 Moss,2014,,,Kasse,Ikke inklusiv,137013,1 431 kg,Manuell,Frozen White,Hvit,1987,98321373,,75,"1,6 l",
,,Firehjulsdrift,14.04.2011,5,Diesel,Volvo XC 70,5,Norge,HS98764,Bruktbil til salgs,Personbil,319900,555 l,145186,2619 Lillehammer,2011,,,Stasjonsvogn,Inklusiv,316240,1 738 kg,Automat,Is Hvit Solid,Hvit,3660,98321322,,163,"2,4 l",Skinn Mørk Grått
,,Forhjulsdrift,30.03.2016,5,Elektrisitet+bensin,Volkswagen Golf,5,Norge,KJ21955,Bruktbil til salgs,Personbil,319000,272 l,17800,3400 Lier,2016,,,Kombi 5-dørs,Ikke inklusiv,312936,1 524 kg,Automat,CARBON STEEL GREY,Grå,6064,98321308,,150,"1,4 l",TITANSORT
,1,Forhjulsdrift,18.12.2014,5,Diesel,Volvo V70,5,Norge,,Bruktbil til salgs,Personbil,339000,575 l,54001,3400 Lier,2015,,,Stasjonsvogn,Ikke inklusiv,332936,1 528 kg,Automat,Electric silver Met. 477,Grå,6064,98321298,,114,"1,6 l",Mørk grå
,1,Firehjulsdrift,06.09.2011,5,Diesel,Volvo XC 70,5,Norge,BS31930,Bruktbil til salgs,Personbil,349900,555 l,136625,2619 Lillehammer,2012,,,Stasjonsvogn,Ikke inklusiv,346240,1 740 kg,Automat,Caspian blå Metallic 498,Blå,3660,98321225,,163,"2,4 l",Skinn Mørk grå
,2,Firehjulsdrift,09.12.2011,5,Diesel,Volvo XC 70,5,Norge,FT37691,Bruktbil til salgs,Personbil,369900,555 l,119783,2619 Lillehammer,2012,,,Stasjonsvogn,Ikke inklusiv,366240,1 740 kg,Automat,Seashell Metallic 484,Grå,3660,98321276,,163,"2,4 l",Skinn Espresso
,,Forhjulsdrift,30.06.2011,5,Diesel,Opel Astra,5,Norge,,Bruktbil til salgs,Personbil,135000,500 l,84000,2619 Lillehammer,2011,,,Stasjonsvogn,Ikke inklusiv,131340,1 428 kg,Manuell,,Blå,3660,98321271,,110,"1,7 l",
,3,Forhjulsdrift,16.06.2011,4,Diesel,MINI Clubman,4,Norge,DN67466,Bruktbil til salgs,Personbil,132614,,57600,0456 Oslo,2011,103 g/km,,Stasjonsvogn,Ikke inklusiv,130000,1 185 kg,Manuell,,Hvit,2614,98306047,,90,"1,6 l",Sort
,1,Forhjulsdrift,30.05.2011,2,Diesel,Ford Transit Connect,4,Norge,SU93713,Bruktbil til salgs,Varebil,64755,,50000,5134 Flaktveit,2011,162 g/km,,Kasse,Inklusiv,63500,1 432 kg,Manuell,,Hvit,1255,98319668,,75,"1,8 l",
,,Forhjulsdrift,25.05.2016,5,Diesel,Volvo V40 Cross Country,5,Norge,,Bruktbil til salgs,Personbil,329000,335 l,25275,3400 Lier,2016,,,Kombi 5-dørs,Ikke inklusiv,322936,1 388 kg,Automat,Rich Java Metallic 712,Brun,6064,98321192,,120,2 l,Sort
,5,Forhjulsdrift,27.09.2002,5,Diesel,Volkswagen Passat,5,Norge,BP74555,Bruktbil til salgs,Personbil,14569,,242506,2380 Brumunddal,2003,151 g/km,,Stasjonsvogn,Inklusiv,13000,1 445 kg,Manuell,,Grå,1569,98103400,,101,"1,9 l",
,,Forhjulsdrift,27.05.2011,5,Diesel,Volvo V60,,Norge,,Bruktbil til salgs,Personbil,149660,,116000,7504 Stjørdal,2011,,,Stasjonsvogn,Inklusiv,146000,1 461 kg,Manuell,,Svart,3660,98321104,,114,"1,6 l",
,2,Bakhjulsdrift,29.03.2012,5,Diesel,BMW 5-serie,4,Norge,AJ77257,Bruktbil til salgs,Personbil,319000,,133000,1814 Askim,2012,,,Sedan,Inklusiv,315340,1 625 kg,Automat,Karbonsort metallic,Svart,3660,98321107,,184,2 l,Dakota Venetobeige
,,Forhjulsdrift,21.02.2012,5,Diesel,Volkswagen Polo,5,Norge,RK56211,Bruktbil til salgs,Personbil,109900,,85305,5257 Kokstad,2012,,,Kombi 5-dørs,Ikke inklusiv,107286,1 090 kg,Manuell,PEPPER GRÅ MET,Grå,2614,98321120,,90,"1,6 l",TITANSORT
,,Forhjulsdrift,11.09.2015,4,Bensin,Volkswagen UP!,5,Norge,HJ97032,Bruktbil til salgs,Personbil,159900,,10500,2320 Furnes,2016,,,Kombi 5-dørs,Ikke inklusiv,155927,921 kg,Manuell,TORNADORED,Rød,3973,98321114,,75,1 l,JO
,,Firehjulsdrift,16.11.2005,5,Diesel,Audi A8,4,Norge,DL25416,Bruktbil til salgs,Personbil,219000,,171000,2770 Jaren,2006,231 g/km,,Sedan,Inklusiv,217431,,Automat,metalic,Grå,1569,98317210,,233,3 l,sort  helskinn
,,Firehjulsdrift,,5,Diesel,Skoda Yeti,,Norge,nf44593,Bruktbil til salgs,Personbil,132660,,138700,3720 Skien,2010,140 g/km,,Stasjonsvogn,Inklusiv,129000,,Manuell,,Svart,3660,98319720,,110,2 l,
,3,Forhjulsdrift,31.08.2011,5,Diesel,Ford Focus,5,Norge,DN70658,Bruktbil til salgs,Personbil,103660,,44683,1187 Oslo,2011,109 g/km,,Kombi 5-dørs,Inklusiv,100000,1 263 kg,Manuell,,Svart,3660,98320407,,95,"1,6 l",Svar/grå
,1,Forhjulsdrift,30.10.2014,2,Diesel,Ford Transit Courier,4,Norge,VH64396,Bruktbil til salgs,Varebil,139900,,40732,7072 Heimdal,2014,,,Kasse,Ikke inklusiv,137913,1 132 kg,Manuell,Frozen White,Hvit,1987,98321066,,75,"1,5 l",Sort
,1,Forhjulsdrift,16.06.2010,5,Bensin,Skoda Fabia,5,Norge,KH69743,Bruktbil til salgs,Personbil,69614,,135146,3048 Drammen,2010,140 g/km,,Stasjonsvogn,Ikke inklusiv,67000,,Manuell,,Sølv,2614,98319027,,69,"1,2 l",
,,Firehjulsdrift,02.04.2013,5,Diesel,Volvo XC 70,5,Norge,HT14245,Bruktbil til salgs,Personbil,399900,,126112,2619 Lillehammer,2013,,,Stasjonsvogn,Ikke inklusiv,396240,1 736 kg,Automat,Sølv Metallic 426,Grå,3660,98320975,,163,"2,4 l",Skinn Mørk grå
,,Bakhjulsdrift,09.06.2008,4,Bensin,Porsche 944,,Norge,BR67137,Bruktbil til salgs,Personbil,139000,,152690,3618 Skollenborg,1986,,,Coupe,Inklusiv,,1 210 kg,Manuell,,Rød,Fritatt,98317854,,163,"2,5 l",Sort
"1,-",1,Firehjulsdrift,03.02.2015,5,Diesel,BMW X1,5,Norge,BT19337,Leasing,Personbil,4990,,43500,1366 Lysaker,2015,143 g/km,xDrive,SUV/Offroad,,,1 575 kg,Automat,Stoffseter grå med rødt,Sølv,Ikke oppgitt,83967841,,136,2 l,Sort og sølv med røde detaljer
,,Forhjulsdrift,,5,Elektrisitet+bensin,Toyota Auris,5,Norge,,Bruktbil til salgs,Personbil,259900,,900,4353 Klepp,2017,83 g/km,,Stasjonsvogn,Ikke inklusiv,,,Automat,Granitt grå metallic,Grå,Fritatt,98320595,,138,"1,8 l",Sort/grå stoff
,1,Firehjulsdrift,20.10.2014,5,Diesel,Volvo XC 70,5,Norge,DP61328,Bruktbil til salgs,Personbil,519900,,78502,2619 Lillehammer,2015,,,Stasjonsvogn,Ikke inklusiv,513836,1 724 kg,Automat,Seashell Metallic 484,Grå,6064,98320917,,163,"2,4 l",Skinn Beige
,,Firehjulsdrift,08.04.2014,5,Diesel,Volkswagen Golf,5,Norge,DP48816,Bruktbil til salgs,Personbil,259000,,42894,0283 Oslo,2014,,,Kombi 5-dørs,Ikke inklusiv,252936,1 396 kg,Manuell,DYP SORT PERLMET.,Svart,6064,98320950,,150,2 l,ANTHRAZIT
,2,Firehjulsdrift,13.05.2013,5,Diesel,Volvo XC 70,5,Norge,HT14482,Bruktbil til salgs,Personbil,399900,555 l,102113,2619 Lillehammer,2013,,,Stasjonsvogn,Inklusiv,396240,1 736 kg,Automat,Sort Safir Metallic 452,Svart,3660,98320936,,163,"2,4 l",Mørk grå
,6,Forhjulsdrift,10.09.1999,5,Bensin,Ford Focus,5,Norge,CE92819,Bruktbil til salgs,Personbil,26569,,160069,0682 Oslo,1999,,,Stasjonsvogn,Inklusiv,25000,1 118 kg,Manuell,,Sølv,1569,98318375,,101,"1,6 l",
,1,Firehjulsdrift,22.12.2015,5,Diesel,Volvo XC 60,5,Norge,IM80356,Bruktbil til salgs,Personbil,579900,,17963,2619 Lillehammer,2016,,,SUV/Offroad,Ikke inklusiv,,,Automat,Osmium Grey Metallic 714,Grå,Fritatt,98320839,,181,"2,4 l",Skinn Mørk grå
,1,Firehjulsdrift,26.01.2016,5,Diesel,Volvo XC 70,5,Norge,IM54416,Bruktbil til salgs,Personbil,549900,555 l,45282,2619 Lillehammer,2016,,,Stasjonsvogn,Ikke inklusiv,,1 719 kg,Automat,Bright Silver Met 711,Sølv,Fritatt,98320880,,181,"2,4 l",Skinn Mørk grå
,,Forhjulsdrift,06.09.2016,5,Elektrisitet+bensin,Audi A3,5,Norge,DR13560,Bruktbil til salgs,Personbil,399000,,12000,0283 Oslo,2017,,,Kombi 5-dørs,Ikke inklusiv,392936,1 540 kg,Automat,MYTHOSSORT,Svart,6064,98320888,,450,"1,4 l",SORT/SORT/SORT/GRÅ
